Time,Open,High,Low,Close,Volume,Hold,Settle
2011/2/22,5030,5064,4950,5000,666140,597838,5010
2011/2/23,4957,4974,4931,4940,482982,629114,4951
2011/2/24,4955,4960,4880,4892,616964,682908,4916
2011/2/25,4905,4916,4861,4869,565278,678728,4884
2011/2/28,4882,4912,4872,4899,434022,651826,4897
2011/3/1,4911,4924,4816,4837,731978,708380,4856
2011/3/2,4828,4857,4795,4847,562724,693768,4829
2011/3/3,4845,4878,4797,4813,751100,761310,4839
2011/3/4,4820,4828,4770,4816,651168,743146,4796
2011/3/7,4818,4843,4802,4832,631320,770410,4820
2011/3/8,4802,4842,4755,4773,984616,781120,4802
2011/3/9,4771,4795,4757,4771,489862,781434,4775
2011/3/10,4751,4752,4678,4679,676322,823608,4709
2011/3/11,4672,4694,4651,4656,661172,797976,4673
2011/3/14,4695,4741,4641,4733,1037316,798722,4692
2011/3/15,4733,4781,4712,4774,1033572,772908,4743
2011/3/16,4770,4835,4755,4832,978500,734950,4792
2011/3/17,4805,4849,4795,4817,907000,718996,4821
2011/3/18,4836,4848,4741,4756,1146010,797818,4791
2011/3/21,4753,4754,4652,4653,1023590,822988,4696
2011/3/22,4642,4686,4627,4648,1033140,818008,4657
2011/3/23,4657,4737,4650,4728,1126490,791080,4696
2011/3/24,4736,4760,4684,4717,1152720,797750,4723
2011/3/25,4734,4743,4705,4730,795444,762456,4723
2011/3/28,4750,4796,4744,4779,1028210,715432,4770
2011/3/29,4780,4824,4765,4814,1028516,724372,4796
2011/3/30,4827,4833,4775,4794,938002,728002,4804
2011/3/31,4786,4818,4767,4794,771454,690710,4795
2011/4/1,4799,4801,4757,4780,608806,634050,4776
2011/4/6,4780,4876,4777,4874,864992,706736,4841
2011/4/7,4877,4888,4854,4885,689844,680534,4871
2011/4/8,4890,4915,4865,4906,663624,662366,4892
